"altID","Patient","Media","Cytokines","Forskolin","Similarity","dataType"
"NF0009-1 D","NF0009-1","DMEM","FALSE","FALSE",0.87205239736677,"Fig4A_"
"NF0009-1 S","NF0009-1","StemPro","FALSE","FALSE",0.90275465365179,"Fig4A_"
"NF0009-1-D+C","NF0009-1","DMEM","TRUE","FALSE",0.878973262695888,"Fig4A_"
"NF0009-1-D+C+F","NF0009-1","DMEM","TRUE","TRUE",0.868359554914162,"Fig4A_"
"NF0009-1-M+C+F","NF0009-1","Mammo","TRUE","TRUE",0.889659484194782,"Fig4A_"
"NF0009-1-S+C","NF0009-1","StemPro","TRUE","FALSE",0.889540461640022,"Fig4A_"
"NF0009-1-S+C+F","NF0009-1","StemPro","TRUE","TRUE",0.9035193445654,"Fig4A_"
"NF0012-3-6 D","NF0012-3-6","DMEM","FALSE","FALSE",0.823827887655888,"Fig4A_"
"NF0012-3-6 M","NF0012-3-6","Mammo","FALSE","FALSE",0.820518058386412,"Fig4A_"
"NF0012-3-6 S","NF0012-3-6","StemPro","FALSE","FALSE",0.81904970805976,"Fig4A_"
"NF0012-3-6-D+C","NF0012-3-6","DMEM","TRUE","FALSE",0.807379116290945,"Fig4A_"
"NF0012-3-6-D+C+F","NF0012-3-6","DMEM","TRUE","TRUE",0.749735474531838,"Fig4A_"
"NF0012-3-6-M+C","NF0012-3-6","Mammo","TRUE","FALSE",0.798352061558724,"Fig4A_"
"NF0012-3-6-M+C+F","NF0012-3-6","Mammo","TRUE","TRUE",0.800749502599209,"Fig4A_"
"NF0012-3-6-S+C","NF0012-3-6","StemPro","TRUE","FALSE",0.847489205339082,"Fig4A_"
"NF0012-3-6-S+C+F","NF0012-3-6","StemPro","TRUE","TRUE",0.840841719943321,"Fig4A_"
"NF0008-1 D","NF0008-1","DMEM","FALSE","FALSE",0.802696926039824,"Fig4A_"
"NF0008-1-D+C+F","NF0008-1","DMEM","TRUE","TRUE",0.780959150895025,"Fig4A_"
"NF0008-1-D+C","NF0008-1","DMEM","TRUE","FALSE",0.792460507348582,"Fig4A_"
"NF0008-1-S+C","NF0008-1","StemPro","TRUE","FALSE",0.842954293840463,"Fig4A_"
"NF0008-1 S","NF0008-1","StemPro","FALSE","FALSE",0.829950091499697,"Fig4A_"
"NF0008-1 M","NF0008-1","Mammo","FALSE","FALSE",0.833916040270297,"Fig4A_"
"NF0008-1-S+C+F","NF0008-1","StemPro","TRUE","TRUE",0.843063686699787,"Fig4A_"
"NF0008-1-M+C","NF0008-1","Mammo","TRUE","FALSE",0.81144853461785,"Fig4A_"
"NF0008-1-M+C+F","NF0008-1","Mammo","TRUE","TRUE",0.831578679144331,"Fig4A_"
"NF0007-2 D","NF0007-2","DMEM","FALSE","FALSE",0.801420248928091,"Fig4A_"
"NF0007-2 M","NF0007-2","Mammo","FALSE","FALSE",0.809206966787526,"Fig4A_"
"NF0007-2 S","NF0007-2","StemPro","FALSE","FALSE",0.812433626872139,"Fig4A_"
"NF0007-2-D+C","NF0007-2","DMEM","TRUE","FALSE",0.802936679884153,"Fig4A_"
"NF0007-2-D+C+F","NF0007-2","DMEM","TRUE","TRUE",0.783470142720401,"Fig4A_"
"NF0007-2-S+C","NF0007-2","StemPro","TRUE","FALSE",0.819154543807027,"Fig4A_"
"NF0007-2-S+C+F","NF0007-2","StemPro","TRUE","TRUE",0.816016923951792,"Fig4A_"
"NF0007-2-M+C","NF0007-2","Mammo","TRUE","FALSE",0.809515483868792,"Fig4A_"
"NF0007-2-M+C+F","NF0007-2","Mammo","TRUE","TRUE",0.811426816744132,"Fig4A_"
"NF0007-4","NF0007-2","Tumor","FALSE","FALSE",0.882604299293494,"Fig4A_"
"NF0007-4 D","NF0007-2","DMEM","FALSE","FALSE",0.799335581478128,"Fig4A_"
"NF0007-4-D+C","NF0007-2","DMEM","TRUE","FALSE",0.80127762001727,"Fig4A_"
