"id","name","specimenID","individualID","experimentalCondition"
"syn20430744","patient10tumor1_quant.sf",,"patient10tumor1",
"syn20430745","patient10tumor2_quant.sf",,"patient10tumor2",
"syn20430746","patient10tumor3_quant.sf",,"patient10tumor3",
"syn20430747","patient11tumor1_quant.sf",,"patient11tumor1",
"syn20430748","patient11tumor14_quant.sf",,"patient11tumor14",
"syn20430749","patient11tumor3_quant.sf",,"patient11tumor3",
"syn20430750","patient13tumor1_quant.sf",,"patient13tumor1",
"syn20430752","patient13tumor3_quant.sf",,"patient13tumor3",
"syn20430753","patient1tumor1_quant.sf",,"patient1tumor1",
"syn20430755","patient1tumor2_quant.sf",,"patient1tumor2",
"syn20430756","patient1tumor4_quant.sf",,"patient1tumor4",
"syn20430759","patient2tumor1_quant.sf",,"patient2tumor1",
"syn20430760","patient2tumor2_quant.sf",,"patient2tumor2",
"syn20430761","patient3tumor1_quant.sf",,"patient3tumor1",
"syn20430762","patient3tumor2_quant.sf",,"patient3tumor2",
"syn20430763","patient3tumor3_quant.sf",,"patient3tumor3",
"syn20430766","patient3tumor4_quant.sf",,"patient3tumor4",
"syn20430767","patient4tumor1_quant.sf",,"patient4tumor1",
"syn20430768","patient4tumor10_quant.sf",,"patient4tumor10",
"syn20430769","patient4tumor4_quant.sf",,"patient4tumor4",
"syn20430770","patient4tumor9_quant.sf",,"patient4tumor9",
"syn20430772","patient5tumor5_quant.sf",,"patient5tumor5",
"syn20430773","patient5tumor8_quant.sf",,"patient5tumor8",
"syn20430774","patient6tumor4_quant.sf",,"patient6tumor4",
"syn20430777","patient6tumor5_quant.sf",,"patient6tumor5",
"syn20430778","patient6tumor6_quant.sf",,"patient6tumor6",
"syn20430779","patient6tumor7_quant.sf",,"patient6tumor7",
"syn20430780","patient8tumor1_quant.sf",,"patient8tumor1",
"syn20430781","patient8tumor4_quant.sf",,"patient8tumor4",
"syn20430784","patient8tumor5_quant.sf",,"patient8tumor5",
"syn20430785","patient8tumor6_quant.sf",,"patient8tumor6",
"syn20430786","patient9tumor1_quant.sf",,"patient9tumor1",
"syn20430789","patient9tumor6_quant.sf",,"patient9tumor6",
